case_number,latitude,longitude,cluster
JK236312,41.695507,-87.63763,0
JK240171,41.877594,-87.642525,0
JK236093,41.836384,-87.66571,0
JK236131,41.95318,-87.76731,0
JK236195,41.87418,-87.667854,0
JK236097,41.978992,-87.65994,0
JK236068,41.881886,-87.64006,0
JK236071,41.76478,-87.67642,0
JK236884,41.929546,-87.70737,0
JK236132,41.76622,-87.578606,0
JK236100,41.76478,-87.67642,0
JK236703,41.86359,-87.70307,0
JK236105,41.938965,-87.68319,0
JK236156,41.932014,-87.64094,0
JK237875,41.882366,-87.667564,0
JK236274,41.765617,-87.6197,0
JK236082,41.89556,-87.654366,0
JK237281,41.910072,-87.65311,0
JK236109,41.80861,-87.62282,0
JK240520,41.971146,-87.70733,0
JK237280,41.910072,-87.65311,0
JK236291,41.864494,-87.63916,0
JK238697,41.92608,-87.64965,0
JK236817,41.78411,-87.68865,0
JK236446,41.883217,-87.628426,0
JK236055,41.95344,-87.74496,0
JK237884,41.91366,-87.655045,0
JK236033,41.88656,-87.716064,0
JK236026,41.968765,-87.68866,0
JK236039,41.889416,-87.631065,0
JK236010,41.930458,-87.64375,0
JK236245,41.796665,-87.66587,0
JK236030,41.90802,-87.76586,0
JK236067,41.717793,-87.56986,0
JK238318,41.89941,-87.62413,0
JK236062,41.79063,-87.60373,0
JK235982,41.879093,-87.72562,0
JK239793,41.742588,-87.64867,0
JK236113,41.89325,-87.67943,0
JK236066,41.75158,-87.57812,0
JK240275,41.71096,-87.535286,2
JK236028,41.86681,-87.62582,0
JK244589,41.81257,-87.60738,0
JK238376,41.683807,-87.68091,-1
JK236137,41.945053,-87.676834,0
JK236017,41.922535,-87.7851,0
JK236045,41.753056,-87.60845,0
JK235984,41.698933,-87.60732,0
JK236060,41.744358,-87.54668,0
JK237088,41.938747,-87.6565,0
JK236074,41.747387,-87.585884,0
JK236047,41.938595,-87.649574,0
JK236205,41.744503,-87.651146,0
JK235996,41.910862,-87.6516,0
JK235972,41.710087,-87.6417,0
JK236914,41.929546,-87.70737,0
JK236414,41.881855,-87.75634,0
JK236253,41.993225,-87.656906,0
JK240459,41.874187,-87.73887,0
JK236046,41.79451,-87.60622,0
JK238637,41.777992,-87.764755,-1
JK235983,41.80272,-87.60642,0
JK236008,41.93556,-87.77004,0
JK236663,41.760067,-87.55666,0
JK236015,41.879955,-87.68004,0
JK236941,41.722893,-87.6384,0
JK236192,41.775288,-87.63776,0
JK240393,41.960495,-87.65292,0
JK240401,41.76315,-87.57623,0
JK235946,41.750225,-87.59546,0
JK242886,41.93162,-87.73985,0
JK237113,41.886658,-87.62796,0
JK241837,41.7772,-87.69985,0
JK236040,41.953472,-87.74355,0
JK235977,41.864544,-87.68598,0
JK235948,41.7487,-87.60638,0
JK235899,41.86011,-87.72621,0
JK236054,41.896713,-87.62534,0
JK235885,41.886326,-87.76176,0
JK237858,41.79919,-87.75516,-1
JK237437,41.770042,-87.63727,0
JK236019,41.87804,-87.63994,0
JK235903,41.77709,-87.66542,0
JK235895,41.81088,-87.66627,0
JK235949,41.706238,-87.642815,0
JK235875,41.849865,-87.71328,0
JK235868,41.89572,-87.76785,0
JK236163,41.928772,-87.70656,0
JK236056,41.808636,-87.64553,0
JK235985,41.768356,-87.619576,0
JK235975,41.993614,-87.65692,0
JK235871,41.90512,-87.76576,0
JK236669,41.875233,-87.62762,0
JK235882,41.776833,-87.68358,0
JK235932,41.768356,-87.619576,0
JK235857,41.73421,-87.64664,0
JK235905,41.8664,-87.70597,0
JK235967,41.95344,-87.74496,0
JK235833,41.877426,-87.696945,0
JK236547,41.79267,-87.76549,-1
JK236185,41.75412,-87.70746,4
JK235910,41.742985,-87.61471,0
JK235937,41.79437,-87.64149,0
JK236939,41.86854,-87.63924,0
JK235852,41.735855,-87.65874,0
JK235889,41.75223,-87.61132,0
JK236179,41.9344,-87.65735,0
JK236376,41.832138,-87.61698,0
JK236794,41.664753,-87.62703,0
JK235894,41.930897,-87.697586,0
JK235802,41.90193,-87.710594,0
JK238254,41.954884,-87.66907,0
JK235826,41.870472,-87.743744,0
JK235790,41.894897,-87.75972,0
JK236704,41.76948,-87.67123,0
JK236729,41.764103,-87.690575,0
JK236399,41.88946,-87.62422,0
JK238136,41.789204,-87.591545,0
JK238464,41.766838,-87.575096,0
JK237101,41.745197,-87.60137,0
JK235861,41.996365,-87.69959,0
JK237024,41.68534,-87.720116,-1
JK235803,41.789528,-87.7989,-1
JK235816,41.9531,-87.67261,0
JK237336,41.74699,-87.60263,0
JK238161,41.881203,-87.64734,0
JK235886,41.953197,-87.765656,0
JK240258,41.802208,-87.67454,0
JK243117,41.706333,-87.642815,0
JK236278,41.80172,-87.63071,0
JK235828,41.953403,-87.7481,0
JK235811,41.757168,-87.64299,0
JK235929,41.918156,-87.65006,0
JK235827,41.72615,-87.57271,0
JK235817,41.723267,-87.53681,-1
JK235859,41.903988,-87.7625,0
JK236540,41.76864,-87.62019,0
JK236932,41.877563,-87.68479,0
JK235761,41.95344,-87.74496,0
JK241686,41.907974,-87.77192,0
JK235775,41.79956,-87.61772,0
JK235814,41.858635,-87.64484,0
JK235782,41.88518,-87.64275,0
JK235807,41.735237,-87.65697,0
JK235767,41.861336,-87.62569,0
JK235751,41.86639,-87.707275,0
JK235962,41.802498,-87.586044,0
JK236859,41.692043,-87.665924,0
JK237753,41.7315,-87.65807,0
JK236667,41.77148,-87.63335,0
JK235800,41.999138,-87.66554,0
JK235747,41.677654,-87.62264,0
JK235750,41.88233,-87.62784,0
JK235729,41.880276,-87.72321,0
JK243834,41.749557,-87.69053,-1
JK237601,41.768177,-87.629845,0
JK237315,41.94583,-87.67127,0
JK240463,41.803123,-87.66647,0
JK236431,41.722134,-87.59934,0
JK239318,41.975224,-87.68793,0
JK235721,41.883476,-87.62788,0
JK235780,41.895878,-87.706566,0
JK235881,41.785847,-87.60758,0
JK235703,41.915714,-87.746056,0
JK236903,41.882393,-87.627846,0
JK235738,41.828552,-87.621704,0
JK236533,41.812805,-87.71132,0
JK235964,41.831013,-87.61732,0
JK235702,41.922062,-87.692764,0
JK237414,41.86721,-87.6428,0
JK236209,41.92786,-87.669464,0
JK238107,41.7799,-87.63583,0
JK236576,41.94266,-87.64013,0
JK239378,41.885754,-87.62692,0
JK235736,41.76894,-87.5813,0
JK236583,41.775085,-87.66657,0
JK235698,41.874886,-87.737724,0
JK235689,41.965755,-87.65479,0
JK235708,41.936882,-87.64819,0
JK238229,41.721302,-87.655876,0
JK244238,41.87468,-87.680565,0
JK235690,41.809917,-87.62981,0
JK235691,41.928,-87.735886,0
JK235681,41.69753,-87.61961,0
JK235674,41.765266,-87.60921,0
JK237914,41.870018,-87.72593,0
JK235687,41.87577,-87.75388,0
JK235841,41.88447,-87.6331,0
JK237242,41.74505,-87.60137,0
JK236714,41.810078,-87.611465,0
JK236614,41.7547,-87.56508,0
JK239716,41.755146,-87.58413,0
JK235955,41.929592,-87.66952,0
JK236741,41.699066,-87.679344,-1
JK241391,41.9934,-87.71228,0
JK236041,41.780212,-87.597244,0
