case_number,latitude,longitude,cluster
JK236575,41.775967,-87.61432,6
JK240209,41.98583,-87.81186,3
JK237002,41.72785,-87.58202,0
JK236523,41.847656,-87.70757,7
JK241198,41.927727,-87.743996,3
JK236338,41.961098,-87.74757,3
JK236355,41.765556,-87.622734,6
JK236343,41.657265,-87.599945,4
JK236365,41.756443,-87.62432,6
JK236328,41.761543,-87.581955,0
JK236375,41.90413,-87.69691,7
JK236321,41.76185,-87.59696,0
JK238127,41.803673,-87.70385,1
JK236314,41.793316,-87.65364,6
JK238491,41.910534,-87.65383,5
JK243797,41.749588,-87.55734,0
JK236313,41.88789,-87.62579,5
JK236304,41.854294,-87.623314,5
JK236297,41.70577,-87.535286,0
JK236303,41.768433,-87.67426,1
JK236335,41.91204,-87.64588,5
JK236294,41.74865,-87.62576,6
JK236284,41.763912,-87.61362,6
JK236327,41.81069,-87.68393,1
JK236292,41.75408,-87.65755,4
JK236750,41.762367,-87.59169,0
JK236895,41.72922,-87.61645,4
JK236550,41.90002,-87.73854,7
JK239153,41.753506,-87.66595,1
JK236299,41.73733,-87.55546,0
JK236503,41.809887,-87.70823,1
JK236659,41.79156,-87.77934,1
JK240104,41.86798,-87.656715,5
JK237021,41.90002,-87.73854,7
JK237313,41.959896,-87.731026,3
JK236271,41.9033,-87.670296,5
JK236613,41.836266,-87.64292,5
JK236293,41.92443,-87.796486,3
JK236270,41.88089,-87.76488,7
JK236272,41.794174,-87.703575,1
JK236494,41.729065,-87.56701,0
JK236276,41.768894,-87.64111,6
JK236773,41.81215,-87.59391,6
JK236254,41.953644,-87.72801,3
JK236275,41.713173,-87.62365,4
JK238222,41.771706,-87.647,6
JK236266,41.86854,-87.63924,5
JK236251,41.883053,-87.68246,7
JK236280,41.736416,-87.545815,0
JK236269,41.903893,-87.63204,5
JK236537,41.968765,-87.68866,2
JK236239,41.792015,-87.64632,6
JK236242,41.67738,-87.63828,4
JK236232,41.88222,-87.65205,5
JK237400,41.92385,-87.774055,3
JK236217,41.89543,-87.719666,7
JK237418,41.765095,-87.71611,1
JK236498,41.93686,-87.757904,3
JK236816,41.771683,-87.57097,0
JK237682,41.988598,-87.69603,2
JK241549,41.775978,-87.77512,1
JK236844,41.955444,-87.65283,2
JK236210,41.879086,-87.74937,7
JK236247,41.910583,-87.72636,7
JK236249,41.865337,-87.625786,5
JK236211,41.80967,-87.59443,6
JK236231,41.774307,-87.64424,6
JK236214,41.94347,-87.743904,3
JK236391,41.788696,-87.72127,1
JK236222,41.813248,-87.633484,6
JK236223,41.803646,-87.70385,1
JK236235,41.803673,-87.70385,1
JK236203,41.891693,-87.62615,5
JK236196,41.75442,-87.63505,6
JK236871,41.893456,-87.61702,5
JK236188,41.778564,-87.66547,1
