case_number,latitude,longitude,cluster
JK200037,41.845085,-87.61885,2
JK219108,41.7179,-87.63758,6
JK227408,41.873333,-87.66282,4
JK174755,41.746704,-87.61965,5
JK219246,41.73306,-87.66541,6
JK211612,41.785355,-87.69723,3
JK183872,41.729527,-87.63737,6
JK216628,41.96491,-87.639084,1
JK227082,41.913376,-87.670204,1
JK205644,41.78795,-87.630325,5
JK169213,41.901123,-87.69501,4
JK210266,41.923214,-87.7547,0
JK192132,41.877773,-87.62929,2
JK161078,41.785664,-87.70333,3
JK182817,41.80839,-87.61656,5
JK225264,41.874557,-87.69372,4
JK169089,41.95246,-87.66944,1
JK142425,41.877823,-87.65518,4
JK222092,41.892956,-87.7616,0
JK170242,41.79897,-87.582306,5
JK213513,41.727665,-87.6446,6
JK188058,41.874405,-87.648125,4
JK197644,41.678143,-87.6148,6
JK181664,41.8967,-87.62639,2
JK175293,41.750496,-87.61249,7
JK181356,41.79102,-87.625206,5
JK167772,41.772366,-87.65218,5
JK188670,41.786884,-87.62226,5
JK143431,41.69132,-87.62103,6
JK160204,41.990616,-87.68319,1
JK218852,41.92449,-87.725945,0
JK156017,41.796314,-87.5809,5
JK199015,41.974438,-87.81119,0
JK220551,41.85588,-87.73366,4
JK183254,41.700134,-87.56198,7
JK144723,41.885674,-87.646736,4
JK146186,41.96673,-87.76745,0
JK195822,41.974403,-87.76703,0
JK201558,41.759205,-87.63207,5
JK199405,41.811382,-87.73495,3
JK214188,41.853268,-87.7053,4
JK159929,41.830967,-87.62975,2
JK218633,41.77453,-87.59972,7
JK210889,41.881943,-87.73435,4
JK165900,41.80246,-87.65266,3
JK191406,41.982456,-87.65798,1
JK205319,41.76131,-87.66131,5
JK171521,41.778294,-87.7019,3
JK145632,41.94084,-87.73272,0
JK141663,41.85765,-87.67711,4
JK228246,41.844822,-87.63427,2
JK173546,41.976658,-87.81442,0
JK171277,41.705677,-87.600945,6
JK150476,41.717823,-87.567825,7
JK170178,41.752914,-87.55122,7
JK146326,41.752075,-87.67141,5
JK209763,41.719276,-87.62982,6
JK210160,41.906487,-87.682236,1
JK189789,41.877014,-87.7011,4
JK152371,41.939568,-87.724625,0
JK190142,41.880108,-87.64731,4
JK165034,41.92308,-87.76596,0
JK225310,41.72999,-87.65074,6
JK190402,41.875042,-87.633644,2
JK216079,41.794827,-87.580444,5
JK168335,41.76873,-87.723724,3
JK205874,41.970455,-87.763054,0
JK160796,41.754658,-87.58216,7
JK184607,41.76238,-87.59003,7
JK191962,41.74972,-87.64645,5
JK150193,41.71184,-87.65026,6
JK175415,41.704094,-87.67084,6
JK193374,41.808052,-87.66251,3
JK213336,41.893394,-87.76662,0
JK196211,41.8857,-87.64203,4
JK188032,41.944885,-87.649414,1
JK190983,41.96343,-87.668144,1
JK143784,41.98844,-87.792145,0
JK182972,41.845318,-87.62212,2
JK148285,41.8081,-87.669815,3
JK219586,41.8857,-87.64203,4
JK197268,41.89284,-87.61772,2
JK202442,41.878716,-87.73847,4
JK145375,41.91161,-87.67937,1
JK156536,41.86253,-87.65243,4
JK165611,41.91788,-87.74239,0
JK201510,41.768932,-87.56985,7
JK220050,41.696,-87.6232,6
JK217376,41.903305,-87.67007,1
JK149102,41.85938,-87.66136,4
JK213752,41.707855,-87.64894,6
JK196992,41.782093,-87.659424,3
JK227565,41.71399,-87.66115,6
JK150743,41.803673,-87.70385,3
JK186345,41.77958,-87.64478,5
JK170114,41.840385,-87.63583,2
JK158039,41.75128,-87.563805,7
JK165227,41.750694,-87.60395,7
JK214612,41.850357,-87.676155,4
JK141826,41.872486,-87.64089,4
JK151471,41.87173,-87.71847,4
JK226881,41.77859,-87.67268,3
JK196987,41.929745,-87.68427,1
JK189053,41.68851,-87.60833,6
JK140665,41.85781,-87.70543,4
JK193963,41.869312,-87.66334,4
JK234641,41.76915,-87.58443,7
JK156231,41.884125,-87.699646,4
JK158076,41.9529,-87.78754,0
JK183466,41.908607,-87.75592,0
JK202466,41.75996,-87.70024,3
JK196195,41.89582,-87.619156,2
JK163630,41.734867,-87.54578,7
JK226441,41.896137,-87.76544,0
JK239883,41.74417,-87.649925,5
JK171368,41.748543,-87.61001,7
JK216675,41.902897,-87.64445,2
JK143150,41.905834,-87.63843,2
JK144409,41.75152,-87.583176,7
JK230633,41.946335,-87.76677,0
JK180139,41.78674,-87.6647,3
JK207010,41.759743,-87.57922,7
JK221138,41.77868,-87.7213,3
JK234014,41.900005,-87.6373,2
JK176712,41.84504,-87.73343,4
JK143558,41.761597,-87.57694,7
JK225899,41.866642,-87.77417,0
JK158283,41.652843,-87.60867,6
JK186757,41.967396,-87.714554,1
JK227249,41.766804,-87.60562,5
JK146819,41.839943,-87.735374,4
JK190522,41.789597,-87.68251,3
JK212563,41.902866,-87.70321,0
JK157650,41.84098,-87.64935,2
JK205864,41.830612,-87.623245,2
JK214558,41.723053,-87.6287,6
JK207901,41.865265,-87.6225,2
JK183136,41.925465,-87.64792,1
JK161189,41.767124,-87.57755,7
JK186914,41.87293,-87.75648,4
JK202858,41.881733,-87.75158,0
JK201853,41.767677,-87.68577,3
JK171219,41.884495,-87.62714,2
JK235920,41.93742,-87.73294,0
JK147934,41.964264,-87.64831,1
JK152490,41.845104,-87.62212,2
JK226834,41.953014,-87.7031,1
JK173638,41.850277,-87.68126,4
JK235774,41.98288,-87.79144,0
JK220357,41.77097,-87.586266,7
JK153734,41.91852,-87.699356,0
JK167779,41.67013,-87.62963,6
JK172524,41.73627,-87.62777,6
JK185536,41.809395,-87.709755,3
JK210322,41.79116,-87.579834,5
JK222362,41.689823,-87.62637,6
JK149592,41.743446,-87.60137,7
JK147247,41.983967,-87.70988,1
JK210407,41.861385,-87.73727,4
